epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.516,2.71926,2.65817,2.15234,0.37116,0.1897,0.12236,0.04779,0.66519,1.80448,13.4048,1.61477,0.07008,0.00332444,0.00332444
2,669.528,2.26881,2.26576,1.8504,0.38645,0.19406,0.15018,0.0606,0.67312,1.71176,6.89691,1.51576,0.0400784,0.00665615,0.00665615
3,997.455,2.17289,2.17587,1.77533,0.37302,0.23591,0.14705,0.05687,0.67384,1.70843,9.7658,1.54965,0.0100702,0.00998135,0.00998135
4,1325.18,2.11827,2.1022,1.73673,0.31713,0.22683,0.16612,0.06609,0.67499,1.67941,8.61303,1.49381,0.00997803,0.00997803,0.00997803
5,1652.31,2.05952,2.00728,1.68823,0.2447,0.21431,0.17281,0.06962,0.67592,1.65097,5.45189,1.48376,0.00996097,0.00996097,0.00996097
6,1978.22,1.99326,1.94337,1.64447,0.26739,0.23892,0.1871,0.07677,0.68294,1.60407,6.3648,1.43307,0.00993906,0.00993906,0.00993906
7,2306.97,1.99199,1.93548,1.64174,0.25945,0.23752,0.1828,0.07288,0.67693,1.68449,4.80732,1.4923,0.00991232,0.00991232,0.00991232
8,2634.55,1.94427,1.87945,1.60732,0.31147,0.25707,0.18126,0.07632,0.68464,1.56739,6.92859,1.3964,0.00988079,0.00988079,0.00988079
9,2963.69,1.92964,1.85515,1.61551,0.27015,0.24768,0.19385,0.08108,0.68238,1.59772,7.03495,1.41937,0.00984449,0.00984449,0.00984449
10,3292.12,1.91442,1.81622,1.58547,0.29527,0.26087,0.20474,0.08532,0.68869,1.57353,5.63611,1.40199,0.00980345,0.00980345,0.00980345
11,3621.11,1.90531,1.8104,1.58534,0.263,0.25289,0.18133,0.07644,0.68107,1.59397,8.30809,1.40318,0.00975773,0.00975773,0.00975773
