epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.693,5.35292,5.3282,1.73574,0.20801,0.22004,0.12635,0.04574,0.65743,3.31202,27.4168,1.15014,0.007008,0.000332444,0.000332444
2,674.443,3.99089,4.13892,1.28951,0.344,0.1881,0.15118,0.06056,0.67294,3.17765,15.0181,1.08925,0.00400784,0.000665615,0.000665615
3,1008.95,3.84245,3.95029,1.21826,0.35687,0.21554,0.17247,0.06908,0.68059,3.02066,16.2115,1.0465,0.00100702,0.000998135,0.000998135
4,1343.43,3.73009,3.83024,1.18417,0.27636,0.22203,0.16924,0.06652,0.67056,3.06203,13.6737,1.03416,0.000997803,0.000997803,0.000997803
5,1679.06,3.65055,3.69881,1.14804,0.25529,0.22007,0.17036,0.0681,0.67752,3.00029,13.5792,1.0085,0.000996097,0.000996097,0.000996097
6,2012.65,3.52445,3.58084,1.1133,0.27026,0.2458,0.19163,0.07872,0.68264,2.89899,11.1275,0.97579,0.000993906,0.000993906,0.000993906
7,2351.94,3.53462,3.59235,1.11017,0.27215,0.26053,0.19624,0.07815,0.67791,3.01029,10.0579,0.99581,0.000991232,0.000991232,0.000991232
8,2685.41,3.45006,3.48158,1.08595,0.31635,0.24798,0.18776,0.07917,0.68545,2.87511,12.8057,0.95169,0.000988079,0.000988079,0.000988079
9,3015.32,3.44435,3.46078,1.09159,0.25814,0.24819,0.19721,0.07907,0.67927,2.93183,13.8814,0.96386,0.000984449,0.000984449,0.000984449
10,3345.49,3.39954,3.40632,1.07114,0.29457,0.27758,0.19623,0.0817,0.68511,2.87445,13.281,0.95187,0.000980345,0.000980345,0.000980345
11,3681.15,3.39036,3.39216,1.07165,0.24815,0.25646,0.1867,0.07681,0.67973,2.9651,13.0259,0.96912,0.000975773,0.000975773,0.000975773
12,4012.21,3.34454,3.30351,1.05105,0.28703,0.27067,0.20546,0.08476,0.68306,2.86017,10.014,0.94614,0.000970736,0.000970736,0.000970736
13,4342.75,3.33405,3.29607,1.04571,0.28161,0.27314,0.20623,0.08651,0.68588,2.79622,10.2453,0.92547,0.000965239,0.000965239,0.000965239
14,4672.43,3.30411,3.31027,1.05132,0.25851,0.25312,0.20109,0.08345,0.68458,2.83897,9.67942,0.93853,0.000959289,0.000959289,0.000959289
15,5003.54,3.29515,3.25591,1.041,0.28377,0.27621,0.20567,0.08514,0.68813,2.80908,9.56023,0.93182,0.000952889,0.000952889,0.000952889
16,5332.02,3.28467,3.23315,1.04071,0.29974,0.26343,0.20683,0.08699,0.68653,2.80725,9.40962,0.92806,0.000946048,0.000946048,0.000946048
17,5661.54,3.26958,3.23981,1.038,0.28346,0.2744,0.21601,0.08841,0.68571,2.84485,8.67373,0.94119,0.000938772,0.000938772,0.000938772
18,5991.35,3.23697,3.15945,1.032,0.28893,0.27538,0.20811,0.08443,0.68287,2.8581,9.88637,0.93568,0.000931067,0.000931067,0.000931067
19,6322.73,3.2446,3.19337,1.03037,0.29022,0.2737,0.20839,0.08663,0.68722,2.86073,10.6129,0.93914,0.000922942,0.000922942,0.000922942
20,6650.72,3.2102,3.14687,1.02195,0.2937,0.27494,0.21186,0.08805,0.68781,2.87711,8.39431,0.93611,0.000914405,0.000914405,0.000914405
21,6976.68,3.22612,3.13775,1.02643,0.31312,0.27103,0.21739,0.09301,0.6899,2.81975,8.83805,0.92463,0.000905463,0.000905463,0.000905463
22,7304.65,3.20243,3.09919,1.02815,0.30664,0.2727,0.22125,0.09181,0.68635,2.83956,8.32091,0.92839,0.000896127,0.000896127,0.000896127
23,7630.99,3.18374,3.10822,1.01466,0.28626,0.27901,0.21046,0.08924,0.68929,2.84616,9.57993,0.91484,0.000886404,0.000886404,0.000886404
24,7958.41,3.19333,3.08077,1.02076,0.30052,0.26392,0.22311,0.09485,0.68775,2.81353,9.37792,0.91629,0.000876305,0.000876305,0.000876305
25,8286.95,3.19005,3.0885,1.017,0.30051,0.27102,0.2204,0.09034,0.68655,2.81056,7.50378,0.91942,0.000865839,0.000865839,0.000865839
26,8612.3,3.17276,3.04222,1.01072,0.29342,0.28532,0.22088,0.09398,0.68832,2.83808,7.43915,0.92466,0.000855018,0.000855018,0.000855018
27,8938.99,3.13331,3.01236,1.0112,0.30002,0.28313,0.22261,0.09567,0.68966,2.761,8.29521,0.91066,0.000843851,0.000843851,0.000843851
28,9264.74,3.14056,3.00697,1.00271,0.29097,0.27648,0.21644,0.09007,0.68656,2.81979,7.08806,0.9181,0.000832349,0.000832349,0.000832349
29,9594.39,3.13842,2.99668,1.00194,0.30061,0.29267,0.22327,0.09495,0.69052,2.78081,7.6804,0.90602,0.000820525,0.000820525,0.000820525
30,9922.23,3.11768,2.96151,0.99821,0.29104,0.27914,0.21412,0.09209,0.69142,2.77417,7.88663,0.9045,0.000808389,0.000808389,0.000808389
31,10254.3,3.11384,2.96438,0.99519,0.293,0.28868,0.22281,0.09511,0.69171,2.76668,7.08875,0.90822,0.000795954,0.000795954,0.000795954
