epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),metrics/fitness(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.842,3.24834,3.26869,2.77516,0.26939,0.1812,0.12811,0.04724,0.66285,0.05533,1.94775,7.06573,1.78959,0.00332444,0.00332444,0.00332444
2,692.341,2.27621,2.23786,1.95135,0.30868,0.19456,0.15856,0.06046,0.67166,0.07027,1.78552,6.21988,1.60905,0.00665127,0.00665127,0.00665127
3,1024.09,2.17679,2.1348,1.82697,0.20792,0.22609,0.15902,0.06054,0.66913,0.07039,1.79182,9.19232,1.60738,0.00995211,0.00995211,0.00995211
4,1357.59,2.10771,2.05828,1.77271,0.2729,0.2328,0.16453,0.06392,0.67181,0.07398,1.72658,9.0916,1.5317,0.00991232,0.00991232,0.00991232
5,1690.63,2.05065,1.96376,1.71173,0.23223,0.22719,0.16956,0.06789,0.67491,0.07806,1.69442,5.79749,1.4813,0.00984449,0.00984449,0.00984449
6,2020.25,1.98304,1.90754,1.66186,0.28764,0.24484,0.19315,0.0784,0.68217,0.08988,1.62765,7.19376,1.44977,0.00975773,0.00975773,0.00975773
7,2356.42,1.97711,1.90441,1.65692,0.24637,0.24272,0.1864,0.07295,0.67458,0.0843,1.69828,5.21766,1.48953,0.00965239,0.00965239,0.00965239
8,2699.97,1.93552,1.844,1.62566,0.27029,0.25815,0.19595,0.08189,0.67991,0.0933,1.62278,6.37308,1.42822,0.00952889,0.00952889,0.00952889
9,3038.92,1.92535,1.83753,1.63648,0.2774,0.25959,0.1992,0.081,0.68069,0.09282,1.61726,6.30696,1.43371,0.00938772,0.00938772,0.00938772
10,3373.31,1.90261,1.79744,1.60384,0.2855,0.25994,0.19893,0.08147,0.68346,0.09322,1.63589,4.85861,1.43674,0.00922942,0.00922942,0.00922942
11,3704.19,1.89676,1.79235,1.6031,0.28389,0.26228,0.20161,0.08088,0.6823,0.09296,1.60871,5.82871,1.42763,0.00905463,0.00905463,0.00905463
12,4037.68,1.86864,1.74538,1.57304,0.28414,0.27296,0.20223,0.0829,0.68181,0.09483,1.61961,5.77551,1.43429,0.00886404,0.00886404,0.00886404
13,4380.62,1.86535,1.74334,1.56753,0.31203,0.27046,0.21806,0.08941,0.68707,0.10227,1.57487,4.47794,1.39057,0.00865839,0.00865839,0.00865839
14,4723.15,1.84951,1.74424,1.57319,0.27715,0.26844,0.20787,0.08352,0.68194,0.09595,1.59322,6.6728,1.40978,0.00843851,0.00843851,0.00843851
15,5060.64,1.84388,1.71943,1.55661,0.28888,0.27772,0.21003,0.08776,0.68794,0.09999,1.57421,5.34439,1.39165,0.00820525,0.00820525,0.00820525
16,5399.47,1.83241,1.71018,1.55424,0.29224,0.2736,0.21254,0.0891,0.68639,0.10144,1.56486,5.02948,1.39734,0.00795954,0.00795954,0.00795954
17,5734.31,1.81554,1.70186,1.54645,0.27438,0.27301,0.21506,0.08759,0.6852,0.10034,1.59264,4.62415,1.41129,0.00770234,0.00770234,0.00770234
18,6071.59,1.80089,1.66369,1.53931,0.30706,0.27745,0.21983,0.09109,0.684,0.10396,1.58709,4.71413,1.40243,0.00743468,0.00743468,0.00743468
19,6419.68,1.81175,1.68398,1.53839,0.27291,0.28396,0.21044,0.08715,0.68445,0.09948,1.58965,5.36919,1.39886,0.00715761,0.00715761,0.00715761
20,6760.05,1.78733,1.65763,1.52386,0.29379,0.27902,0.2184,0.09041,0.68603,0.10321,1.58243,4.64207,1.38425,0.00687222,0.00687222,0.00687222
21,7098.39,1.79558,1.6466,1.53022,0.30154,0.26741,0.22005,0.09298,0.68827,0.10569,1.55226,4.84049,1.3741,0.00657963,0.00657963,0.00657963
22,7436.58,1.78372,1.63488,1.53008,0.30521,0.27968,0.23059,0.09657,0.68921,0.10997,1.56044,4.30579,1.36924,0.00628101,0.00628101,0.00628101
23,7777.71,1.76977,1.63442,1.50884,0.29709,0.2673,0.21498,0.09129,0.68882,0.10366,1.58116,5.02017,1.37746,0.00597754,0.00597754,0.00597754
24,8114.2,1.76927,1.61934,1.51522,0.3121,0.28453,0.22901,0.0946,0.68987,0.10804,1.55708,5.32833,1.37397,0.0056704,0.0056704,0.0056704
25,8449.87,1.77131,1.61885,1.50727,0.30957,0.27679,0.22373,0.09329,0.6885,0.10633,1.54428,4.00619,1.36248,0.00536081,0.00536081,0.00536081
26,8781.84,1.76143,1.59638,1.50075,0.30658,0.27401,0.22662,0.09527,0.68742,0.1084,1.56756,4.00795,1.36842,0.00505,0.00505,0.00505
27,9121.4,1.74043,1.57627,1.49735,0.29852,0.28337,0.22546,0.09288,0.68982,0.10613,1.5543,4.53729,1.36687,0.00473919,0.00473919,0.00473919
28,9459.94,1.7418,1.57687,1.48734,0.30349,0.28035,0.22355,0.09481,0.68922,0.10768,1.56007,3.995,1.36015,0.0044296,0.0044296,0.0044296
29,9788.87,1.73127,1.56623,1.48294,0.3124,0.28538,0.22862,0.09516,0.68762,0.10851,1.55454,4.16946,1.36048,0.00412246,0.00412246,0.00412246
30,10119.9,1.72263,1.54725,1.47711,0.30115,0.28524,0.23288,0.09768,0.68973,0.1112,1.54691,3.89696,1.35476,0.00381899,0.00381899,0.00381899
31,10462.9,1.7204,1.55034,1.47467,0.30147,0.2806,0.23698,0.09893,0.6882,0.11273,1.54025,3.85859,1.3509,0.00352037,0.00352037,0.00352037
32,10802.8,1.71967,1.54511,1.47276,0.32484,0.27924,0.23913,0.09879,0.68947,0.11283,1.55669,3.94895,1.36374,0.00322778,0.00322778,0.00322778
33,11135.2,1.71273,1.5278,1.46235,0.30347,0.28288,0.23251,0.09779,0.6912,0.11127,1.54136,3.97721,1.35154,0.00294239,0.00294239,0.00294239
34,11464.7,1.70024,1.5136,1.45894,0.31115,0.28514,0.23603,0.10099,0.69264,0.11449,1.54084,3.85109,1.35268,0.00266532,0.00266532,0.00266532
35,11801.9,1.69254,1.50252,1.45883,0.32068,0.28807,0.23669,0.10022,0.69224,0.11387,1.5315,3.72264,1.34502,0.00239766,0.00239766,0.00239766
36,12134.2,1.69483,1.50725,1.46364,0.31306,0.28718,0.23445,0.09953,0.69294,0.11302,1.53157,4.10904,1.34585,0.00214046,0.00214046,0.00214046
37,12471.6,1.69963,1.51034,1.45718,0.31218,0.29052,0.23464,0.10013,0.69263,0.11358,1.51821,3.76576,1.33535,0.00189475,0.00189475,0.00189475
38,12804.8,1.68375,1.494,1.45928,0.3071,0.29359,0.23561,0.09981,0.69312,0.11339,1.52439,3.86964,1.34362,0.00166149,0.00166149,0.00166149
39,13136.1,1.67735,1.48388,1.449,0.31602,0.28713,0.23331,0.09849,0.69177,0.11198,1.53973,3.81217,1.34892,0.00144161,0.00144161,0.00144161
40,13468.7,1.67385,1.47364,1.4465,0.31039,0.285,0.23116,0.09853,0.69272,0.11179,1.52591,3.68777,1.33917,0.00123596,0.00123596,0.00123596
41,13797.4,1.67573,1.46978,1.45647,0.31367,0.2886,0.23332,0.09862,0.69141,0.11209,1.53085,3.55487,1.34381,0.00104537,0.00104537,0.00104537
42,14125.1,1.66354,1.46143,1.44677,0.30641,0.28319,0.23271,0.09818,0.69061,0.11164,1.5252,3.86394,1.34113,0.000870577,0.000870577,0.000870577
43,14454.7,1.66551,1.44968,1.44008,0.318,0.2831,0.23634,0.09985,0.6923,0.1135,1.5164,3.42212,1.33549,0.000712282,0.000712282,0.000712282
44,14782.7,1.66172,1.45747,1.44689,0.30266,0.28681,0.23075,0.09839,0.69297,0.11163,1.5214,3.61215,1.33637,0.000571106,0.000571106,0.000571106
45,15110.4,1.66199,1.44521,1.44192,0.30995,0.28272,0.23144,0.09864,0.69231,0.11192,1.52513,3.42189,1.33832,0.000447606,0.000447606,0.000447606
46,15443.4,1.6648,1.44439,1.43291,0.30956,0.28128,0.23284,0.0998,0.69366,0.1131,1.51719,3.41902,1.33208,0.00034227,0.00034227,0.00034227
47,15775.5,1.65389,1.42894,1.43416,0.3028,0.28206,0.23161,0.09871,0.69315,0.112,1.51831,3.37464,1.3338,0.000255513,0.000255513,0.000255513
48,16106.4,1.66052,1.43538,1.43647,0.30807,0.28572,0.23218,0.09838,0.6922,0.11176,1.51616,3.3755,1.33186,0.000187678,0.000187678,0.000187678
49,16436,1.64959,1.43982,1.43204,0.30873,0.28197,0.23262,0.09898,0.69287,0.11234,1.51752,3.41725,1.3328,0.000139032,0.000139032,0.000139032
